"frequency (Hz)","audio amplitude (a.u.)"
7.900000000E2,4.734492549E-1
8.000000000E2,5.041372232E-1
8.100000000E2,4.382950176E-1
8.200000000E2,5.059290901E-1
8.300000000E2,6.656276322E-1
8.400000000E2,8.257893483E-1
8.500000000E2,6.877596540E-1
8.600000000E2,6.065872113E-1
8.700000000E2,2.723897687E-1
8.800000000E2,4.839230346E-1
8.900000000E2,6.393568630E-1
9.000000000E2,6.264924036E-1
9.100000000E2,6.593705927E-1
9.200000000E2,5.699256976E-1
9.300000000E2,7.522538676E-1
9.400000000E2,6.067799584E-1
9.500000000E2,4.351664406E-1
9.600000000E2,6.597872629E-1
9.700000000E2,7.706518189E-1
9.800000000E2,7.870525871E-1
9.900000000E2,8.024421400E-1
1.000000000E3,6.714877476E-1
1.010000000E3,2.902509240E-1
1.020000000E3,1.594934635E-1
1.030000000E3,5.805063336E-1
1.040000000E3,6.411619797E-1
1.050000000E3,7.023241276E-1
1.060000000E3,6.118002416E-1
1.070000000E3,8.072467939E-1
1.080000000E3,8.647953415E-1
1.090000000E3,7.308085212E-1
1.100000000E3,6.589526054E-1
1.110000000E3,5.398737133E-1
1.120000000E3,5.499891895E-1
1.130000000E3,5.132123925E-1
1.140000000E3,4.175598917E-1
1.150000000E3,2.077262237E-1
1.160000000E3,3.401232883E-2
1.170000000E3,4.007114569E-1
1.180000000E3,6.598630735E-1
1.190000000E3,6.569267853E-1
1.200000000E3,6.769643210E-1
1.210000000E3,6.354469117E-1
1.220000000E3,6.719648263E-1
1.230000000E3,6.209908143E-1
1.240000000E3,5.961554302E-1
1.250000000E3,5.009673041E-1
1.260000000E3,4.406520092E-1
1.270000000E3,3.978418182E-1
1.280000000E3,3.077640844E-1
1.290000000E3,1.511427976E-1
1.300000000E3,4.601703745E-2
1.310000000E3,2.665034386E-1
1.320000000E3,6.176855546E-1
1.330000000E3,6.843778591E-1
1.340000000E3,7.927842374E-1
1.350000000E3,7.226361716E-1
1.360000000E3,7.484670093E-1
1.370000000E3,6.616359011E-1
1.380000000E3,5.480190641E-1
1.390000000E3,3.812723874E-1
1.400000000E3,3.268256807E-1
1.410000000E3,2.592533139E-1
1.420000000E3,1.807743339E-1
1.430000000E3,6.933911716E-2
1.440000000E3,2.239845496E-2
1.450000000E3,3.824236562E-1
1.460000000E3,1.127197529E0
1.470000000E3,1.363189518E0
1.480000000E3,1.032190565E0
1.490000000E3,9.842679445E-1
1.500000000E3,9.007647602E-1
1.510000000E3,5.792181129E-1
1.520000000E3,5.265636820E-1
1.530000000E3,4.700803409E-1
1.540000000E3,4.615653089E-1
1.550000000E3,3.078318674E-1
1.560000000E3,2.117567495E-1
1.570000000E3,1.138743458E-1
1.580000000E3,9.001531839E-2
1.590000000E3,3.545574908E-1
1.600000000E3,1.529666363E0
1.610000000E3,2.264621259E0
1.620000000E3,2.029685794E0
1.630000000E3,1.604777956E0
1.640000000E3,1.111179384E0
1.650000000E3,8.875736577E-1
1.660000000E3,6.390162724E-1
1.670000000E3,5.765094436E-1
1.680000000E3,3.516528072E-1
1.690000000E3,3.062143286E-1
1.700000000E3,2.775215231E-1
1.710000000E3,2.497649289E-1
1.720000000E3,3.062467462E-1
1.730000000E3,5.336629204E-1
1.740000000E3,1.656042223E0
1.750000000E3,3.297592050E0
1.760000000E3,3.186618582E0
1.770000000E3,2.469086022E0
1.780000000E3,2.020984748E0
1.790000000E3,1.694194706E0
1.800000000E3,1.417704935E0
1.810000000E3,7.027924997E-1
1.820000000E3,7.021562046E-1
1.830000000E3,6.344212199E-1
1.840000000E3,4.734576876E-1
1.850000000E3,5.209419345E-1
1.860000000E3,5.291689272E-1
1.870000000E3,6.889862164E-1
1.880000000E3,1.011758306E0
1.890000000E3,2.030609380E0
1.900000000E3,2.636698319E0
1.910000000E3,2.734939175E0
1.920000000E3,1.893443239E0
